pressure_alt_ft,rpm,pwr_isa_minus30,ktas_isa_minus30,ff_isa_minus30_lph,pwr_isa,ktas_isa,ff_isa_lph,pwr_isa_plus30,ktas_isa_plus30,ff_isa_plus30_lph
0,2361,120,110,32.2,100,106,26.8,84,103,22.6
0,2318,113,108,30.5,94,104,25.3,79,100,21.2
0,2272,107,106,28.8,88,101,23.8,74,97,19.8
0,2221,100,103,26.9,82,99,22.1,68,94,18.3
0,2165,93,100,25.0,76,95,20.4,62,90,16.8
0,2103,85,97,22.9,69,92,18.6,56,86,15.1
0,2033,77,93,20.8,62,88,16.7,50,81,13.4
2000,2355,112,109,30.2,93,106,25.1,78,101,21.0
2000,2312,106,107,28.6,88,103,23.6,73,99,19.7
2000,2265,100,105,27.0,82,100,22.2,68,96,18.4
2000,2214,94,102,25.2,76,98,20.6,63,92,17.0
2000,2157,87,99,23.4,70,94,19.0,58,88,15.5
2000,2094,80,96,21.4,64,90,17.3,52,84,13.9
2000,2023,72,92,19.4,57,86,15.5,46,77,12.3
4000,2348,105,109,28.3,87,105,23.4,72,100,19.5
4000,2305,100,107,26.8,82,102,22.0,68,97,18.3
4000,2257,94,104,25.2,77,99,20.6,63,94,17.0
4000,2206,88,101,23.6,71,96,19.2,58,90,15.7
4000,2148,81,98,21.9,65,93,17.6,53,86,14.3
4000,2084,74,95,20.0,59,89,16.0,47,80,12.8
6000,2340,98,108,26.5,81,103,21.8,67,98,18.0
6000,2296,93,106,25.1,76,101,20.5,63,95,16.9
6000,2249,88,103,23.6,71,98,19.2,58,92,15.7
6000,2196,82,100,22.0,66,95,17.8,54,87,14.4
8000,2331,92,107,24.8,75,102,20.2,62,96,16.7
8000,2287,87,105,23.4,71,99,19.0,58,93,15.6
8000,2239,82,102,22.0,66,96,17.8,53,89,14.4
8000,2185,76,99,20.5,61,93,16.4,49,84,13.2
10000,2321,86,106,23.1,69,100,18.7,57,93,15.3
10000,2277,81,104,21.8,65,97,17.6,53,89,14.3
10000,2227,76,101,20.5,61,94,16.4,49,84,13.1