weight_kg,pressure_alt_ft,vy_kias,roc_ftmin_at_-25C,roc_ftmin_at_0C,roc_ftmin_at_15C,roc_ftmin_at_25C,roc_ftmin_at_50C
580,0,66,1362,1111,888,686,974
580,2000,66,1171,925,705,507,825
580,4000,66,982,739,523,328,676
580,6000,66,792,554,342,151,527
580,8000,65,604,370,161,-27,378
580,10000,65,416,186,-19,-203,229
580,12000,65,228,3,-198,-379,80
580,14000,65,42,-179,-377,-555,-69
550,0,66,1463,1201,966,755,1057
550,2000,66,1264,1006,775,567,901
550,4000,66,1065,811,584,380,745
550,6000,65,866,617,395,194,588
550,8000,65,669,424,205,8,432
550,10000,65,472,231,17,-177,276
550,12000,65,275,39,-172,-362,120
550,14000,64,80,-152,-359,-545,-37
500,0,66,1656,1370,1115,884,1213
500,2000,66,1439,1157,906,680,1043
500,4000,65,1222,945,699,476,873
500,6000,65,1006,734,492,273,703
500,8000,65,791,524,286,71,533
500,10000,64,576,314,80,-131,363
500,12000,64,362,105,-125,-332,192
500,14000,64,149,-103,-329,-532,22