weight_kg,pressure_alt_ft,segment,dist_m_at_-25C,dist_m_at_0C,dist_m_at_15C,dist_m_at_25C,dist_m_at_50C
580,0,ground_roll,130,171,220,279,199
580,0,over_50ft,212,281,365,465,330
580,1000,ground_roll,142,187,242,306,214
580,1000,over_50ft,233,309,402,513,355
580,2000,ground_roll,156,206,266,337,231
580,2000,over_50ft,257,340,443,565,383
580,3000,ground_roll,172,226,292,371,249
580,3000,over_50ft,282,375,488,624,414
580,4000,ground_roll,189,249,322,409,269
580,4000,over_50ft,311,414,539,690,447
580,5000,ground_roll,208,275,355,452,290
580,5000,over_50ft,343,457,595,763,483
580,6000,ground_roll,229,303,392,499,313
580,6000,over_50ft,379,505,659,845,522
580,7000,ground_roll,252,334,433,552,338
580,7000,over_50ft,419,558,729,937,565
580,8000,ground_roll,279,369,479,612,366
580,8000,over_50ft,463,618,809,1040,612
580,9000,ground_roll,308,408,531,678,396
580,9000,over_50ft,513,685,898,1155,664
580,10000,ground_roll,341,452,588,753,429
580,10000,over_50ft,568,761,998,1286,720
550,0,ground_roll,113,149,192,243,174
550,0,over_50ft,185,245,318,405,287
550,1000,ground_roll,124,163,211,267,187
550,1000,over_50ft,203,269,350,446,309
550,2000,ground_roll,136,179,231,294,201
550,2000,over_50ft,223,297,385,492,334
550,3000,ground_roll,150,197,255,323,217
550,3000,over_50ft,246,327,425,544,360
550,4000,ground_roll,164,217,281,357,234
550,4000,over_50ft,271,360,469,601,389
550,5000,ground_roll,181,239,309,394,252
550,5000,over_50ft,299,398,519,664,421
550,6000,ground_roll,199,264,342,435,273
550,6000,over_50ft,330,440,574,736,455
550,7000,ground_roll,220,291,377,481,295
550,7000,over_50ft,365,486,635,816,492
550,8000,ground_roll,243,322,417,533,319
550,8000,over_50ft,403,538,704,905,533
550,9000,ground_roll,268,356,462,591,345
550,9000,over_50ft,446,597,782,1006,578
550,10000,ground_roll,297,394,513,655,374
550,10000,over_50ft,495,662,869,1120,627
500,0,ground_roll,88,116,150,189,135
500,0,over_50ft,144,191,248,316,224
500,1000,ground_roll,97,127,164,208,146
500,1000,over_50ft,159,210,273,348,242
500,2000,ground_roll,106,140,181,229,157
500,2000,over_50ft,174,231,301,384,261
500,3000,ground_roll,117,154,199,252,169
500,3000,over_50ft,192,255,332,424,281
500,4000,ground_roll,128,169,219,278,183
500,4000,over_50ft,212,281,366,469,304
500,5000,ground_roll,141,187,242,307,197
500,5000,over_50ft,233,310,405,519,328
500,6000,ground_roll,156,206,267,339,213
500,6000,over_50ft,257,343,448,574,355
500,7000,ground_roll,172,227,295,375,230
500,7000,over_50ft,285,379,496,637,384
500,8000,ground_roll,189,251,326,416,249
500,8000,over_50ft,315,420,550,707,416
500,9000,ground_roll,209,278,361,461,269
500,9000,over_50ft,348,466,610,785,451
500,10000,ground_roll,231,307,400,512,292
500,10000,over_50ft,386,517,678,874,490